139,Danny Aiello Ossie Davis Ruby Dee Richard Edson Giancarlo Esposito Spike Lee Bill Nunn John Turturro Paul Benjamin Frankie Faison Samuel L. Jackson Rosie Perez Martin Lawrence Miguel Sandoval
140,Joaquín Furriel Luis Ziembrowski Guillermo Pfening Mónica Lairana Germán de Silva Victoria Raposo Andrea Garrote
141,Bruce Willis Kellan Lutz Gina Carano D.B. Sweeney Joshua Mikel Steve Coulter Dan Bilzerian Heather Johansen
142,Hilary Swank Patrick Dempsey Scott Glenn Imelda Staunton April L. Hernandez Mario Kristin Herrera Jaclyn Ngan Sergio Montalvo Jason Finn Deance Wyatt Vanetta Smith
143,Ryan Reynolds Blake Lively Peter Sarsgaard Mark Strong Tim Robbins Jay O. Sanders Taika Waititi Angela Bassett
144,Christopher Reid Christopher Martin Robin Harris Tisha Campbell A.J. Johnson Martin Lawrence Paul Anthony Bowlegged Lou B-Fine Edith Fields Kelly Jo Minter Clifton Powell Verda Bridges
145,Christopher Reid Christopher Martin Martin Lawrence Bowlegged Lou Paul Anthony B-Fine Tisha Campbell Kamron Iman Queen Latifah
146,Christopher Reid Christopher Martin Tisha Campbell David Edwards Angela Means Ketty Lester Bernie Mac Michael Colyar Chris Tucker Khandi Alexander
147,
148,Hakeem Kae-Kazim Chioma Omeruah Orukotan Adejola Flora Chiedo Emeka Nwagbaraocha Anthony Oseyemi Oluwabukola Thomas Soibifaa Dokubo
149,Master P Anthony Johnson Gretchen Palmer Frantz Turner Richard Keats Joe Estevez William Knight Anthony Boswell Tommy 'Tiny' Lister Helen Martin John Witherspoon Mia X
150,Omar Epps LL Cool J Nia Long Stanley Tucci Pam Grier Hill Harper Jake Weber David Patrick Kelly Veronica Webb Ron Canada Robert LaSardo Gano Grills Ivonne Coll Don Harvey Mya Nasir 'Nas' Jones Jermaine Dupri
151,Jay Chou Anne Suzuki Edison Chen Anthony Wong Chau-sang Shawn Yue Chapman To Jordan Chan Kenny Bee
152,Jai Brooks Luke Brooks James Yammouni Daniel Sahyounie Beau Brooks
153,Lori Gardner Kate Bristol Billy Bob Thompson Marc Thompson Erica Schroeder
